股票代码,股票名称,所属行业,PE(动),总市值,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%),预告类型,预告日期,变动范围,score
300488,恒锋工具,金属制品,69.94,49.31,0.8168,12.009,0.9063,5.2834,6473.61,5.2424,8.55,58.2,4.53,9.1,5.61,0.28,预升,2017-04-08,0%~30%,21
300494,盛天网络,电子信息,73.19,67.75,0.46,3.7748,0.4622,1.4037,24000.0,1.1523,12.9,54.52,5.11,43.51,43.45,21.32,预增,2017-04-10,187.1%~215.25%,21
603638,艾迪精密,专用设备,85.68,64.73,0.19,4.4567,-0.0291,2.0124,17600.0,1.2890000000000001,4.47,43.52,16.85,54.19,116.62,116.43,,,,21
300503,昊志机电,机械行业,84.8,60.86,0.66,6.763999999999999,-0.3881,3.1483,10144.84,2.7995,10.13,52.36,20.51,49.55,44.5,65.79,,,,21
300505,川金诺,化工行业,102.96,60.13,0.0818,6.7323,-0.3822,2.9706,9336.0,2.4307,1.22,27.48,20.78,30.63,36.23,22.24,预升,2017-04-10,25%~45%,21
300072,三聚环保,化工行业,44.21,715.0,0.2435,3.6833,-0.7389,0.9055,179339.38,1.7649,6.72,15.62,63.44,218.2,115.26,118.54,,,,21
545,金浦钛业,化工行业,57.67,69.67,0.054000000000000006,1.9477,0.0089,-0.065,98683.31,0.9119,2.79,24.98,31.78,177.31,239.4,5296.92,,,,21
300520,科大国创,软件服务,139.62,79.48,0.72,5.4894,1.1939,4.3925,9607.5,1.8317,15.11,36.88,49.04,46.45,28.08,21.36,,,,21
300532,今天国际,交运物流,114.37,56.62,0.78,8.718,-0.0184,4.2683,8400.0,3.0341,10.98,36.89,36.91,-21.41,-12.3,-17.31,预增,2017-04-10,64.68%~82.98%,21
2210,飞马国际,交运物流,108.8,205.5,1.58,4.0593,-1.7169999999999999,1.0506,97228.26,1.9441,38.71,0.82,79.29,9.15,574.79,-30.5,,,,21
